eps	fgm1	fgm2	fgsm	pgd2	pgd_inf	cw
0.05	0.906	0.904	0.593	0.901	0.692	
0.10	0.904	0.901	0.441	0.901	0.544	
0.15	0.905	0.899	0.385	0.898	0.508	
0.20	0.905	0.895	0.368	0.899	0.463	
0.25	0.903	0.892	0.348	0.899	0.439	
0.30	0.903	0.885	0.345	0.897	0.418	
