eps	fgm1	fgm2	fgsm	pgd2	pgd_inf	cw
0.05	0.941	0.938	0.695	0.940	0.713	
0.10	0.940	0.935	0.615	0.938	0.583	
0.15	0.940	0.933	0.581	0.935	0.525	
0.20	0.939	0.925	0.564	0.933	0.467	
0.25	0.939	0.915	0.551	0.935	0.430	
0.30	0.939	0.905	0.537	0.932	0.409	
