expected_value	fgm1	fgm2	fgsm	pgd2	pgd_i	cw
1	0.941	0.939	0.699	0.940	0.726	0.488
10	0.941	0.938	0.695	0.940	0.713	0.335
30	0.941	0.939	0.696	0.941	0.717	0.298
50	0.941	0.938	0.695	0.938	0.718	0.284
