expected_value	fgm1	fgm2	fgsm	pgd2	pgd_i	cw
1	0.938	0.934	0.612	0.937	0.592	0.056
10	0.938	0.934	0.612	0.937	0.592	0.056
30	0.938	0.934	0.612	0.937	0.592	0.056
50	0.938	0.934	0.612	0.937	0.592	0.056
