expected_value	fgm1	fgm2	fgsm	pgd2	pgd_i	cw
1	0.905	0.905	0.578	0.904	0.651	0.762
10	0.904	0.903	0.508	0.904	0.621	0.566
30	0.901	0.903	0.489	0.902	0.608	0.502
50	0.907	0.901	0.484	0.902	0.604	0.482
